#{"t_start": 1718613648.0376213, "env_id": "None"}
r,l,t
-221.414993,500,3.303765
-338.244695,500,5.878405
-461.611178,500,8.923479
-373.908225,500,11.70416
-442.348941,500,14.368699
-479.516305,500,16.964493
-370.208581,500,19.719218
-471.403099,500,23.030368
85.426377,57,23.611566
-206.284725,500,26.155226
-201.190403,500,28.59901
-127.998303,500,31.372766
-355.744773,500,34.300745
-230.835794,500,37.040525
-217.579401,500,39.922224
-262.981217,500,42.628135
-245.935332,500,45.345412
-303.505633,500,49.032091
-243.92266,500,52.229243
-349.856441,500,55.385633
-298.997387,500,57.775754
-382.750839,500,60.152234
-243.484834,500,62.868467
44.728169,157,64.095
22.024061,180,65.217132
84.799432,56,65.73276
-194.804268,500,68.300868
-443.286595,500,71.04165
39.902437,198,72.408132
-320.533981,500,75.475434
-344.272286,500,78.060036
-262.396125,500,80.616205
-392.702861,500,83.103213
-247.451358,500,86.148241
-197.661475,500,88.910385
-263.321143,500,91.686579
-297.024283,500,94.446003
-279.48853,500,97.131241
-221.880434,500,100.056256
-284.455562,500,102.726752
-304.609001,500,105.748567
-370.823809,500,108.656722
-175.212257,467,111.056603
-24.658842,304,112.645591
85.202377,27,113.011308
-262.871683,500,115.627953
-180.119316,500,118.370574
-309.058478,500,121.208276
-426.699893,500,124.025346
-250.854235,500,126.473597
-280.565882,500,128.906948
-193.173831,500,131.343014
-288.418441,500,133.720563
-411.636067,500,136.228902
-338.820085,500,138.98608
-136.982203,500,141.731141
-164.25302,500,144.563254
34.742789,157,146.030665
-233.030892,500,148.960382
-220.612606,500,151.70048
-290.495673,500,154.615983
-432.87052,500,157.565112
45.289905,192,158.844624
-579.345029,500,161.915089
-269.900653,500,164.774498
-277.623401,500,167.684286
-380.728893,500,170.257618
-59.681854,360,172.160915
-154.86143,500,175.148458
-328.645311,500,177.96021
-305.765591,500,180.720492
-325.273991,500,184.109274
12.73022,223,185.711727
-212.423073,500,188.637898
63.198423,89,189.254033
88.749679,62,189.829963
-232.303566,500,192.271533
-276.533606,500,194.791532
-199.455425,500,197.410034
-175.620183,500,200.599555
-252.730464,500,203.774014
-203.169122,500,206.979703
-222.93177,500,209.747073
-235.974917,500,212.527238
-330.658732,500,215.333404
-233.476584,500,218.058514
-394.29212,500,220.809459
-182.868915,500,223.577908
-207.384455,500,226.368014
-213.27882,500,229.15818
-201.699807,500,231.800489
-255.202769,500,234.467124
-332.682572,500,237.001784
-335.311803,500,239.430623
-252.08496,500,242.334632
-252.908478,500,244.993248
-247.635879,500,247.782514
-151.699368,500,250.662617
-283.830483,500,253.374025
-434.516632,500,256.121918
-181.936733,500,258.951112
-205.860191,500,261.579987
-287.919051,500,264.262934
-297.679044,500,267.178167
-209.57504,500,269.616643
-269.545405,500,272.42365
-267.650826,500,275.412263
-364.296638,500,278.269839
