#{"t_start": 1718614125.0189087, "env_id": "None"}
r,l,t
-221.414993,500,2.998866
-338.244695,500,5.54491
-461.611178,500,7.963892
-373.908225,500,10.630229
-442.348941,500,13.088277
-479.516305,500,15.925987
-370.208581,500,18.687857
-471.403099,500,21.177925
85.426377,57,21.689927
-206.284725,500,24.096696
-201.190403,500,26.473843
-127.998303,500,28.989419
-355.744773,500,31.722799
-230.835794,500,34.221718
-217.579401,500,37.011199
-262.981217,500,39.609799
-245.935332,500,42.359735
-303.505633,500,45.381303
-243.92266,500,48.109845
-349.856441,500,51.180592
-298.997387,500,53.795265
-382.750839,500,57.149505
-243.484834,500,60.089634
44.728169,157,61.277047
22.024061,180,62.428059
84.799432,56,62.987002
-194.804268,500,66.052996
-443.286595,500,69.369751
39.902437,198,70.597028
-320.533981,500,73.1906
-344.272286,500,75.734717
-262.396125,500,78.460883
-392.702861,500,81.681669
-247.451358,500,84.554987
-197.661475,500,87.42805
-263.321143,500,90.245177
-297.024283,500,92.784503
-279.48853,500,95.616531
-221.880434,500,98.731951
-284.455562,500,101.721855
-304.609001,500,104.895879
-370.823809,500,107.327882
-175.212257,467,109.899354
-24.658842,304,111.626154
85.202377,27,111.995843
-262.871683,500,114.487274
-180.119316,500,117.178086
-309.058478,500,119.682523
-426.699893,500,122.213759
-250.854235,500,125.657766
-280.565882,500,128.525179
-193.173831,500,131.477272
-288.418441,500,133.966306
-411.636067,500,137.047498
-338.820085,500,140.105181
-136.982203,500,142.61179
-164.25302,500,145.081843
34.742789,157,146.255172
-233.030892,500,148.956732
-220.612606,500,151.584298
-290.495673,500,154.056457
-432.87052,500,156.960982
45.289905,192,158.141358
-579.345029,500,160.94382
-269.900653,500,163.742039
-277.623401,500,166.312032
-380.728893,500,168.827447
-59.681854,360,170.626769
-154.86143,500,173.065484
-328.645311,500,175.558303
-305.765591,500,178.247229
-325.273991,500,180.682025
12.73022,223,181.933802
-212.423073,500,184.441568
63.198423,89,185.057461
88.749679,62,185.55434
-232.303566,500,188.198005
-276.533606,500,190.929611
-199.455425,500,193.753918
-175.620183,500,196.709984
-252.730464,500,199.818036
-203.169122,500,202.798257
-222.93177,500,205.500281
-235.974917,500,208.35938
-330.658732,500,211.076
-233.476584,500,213.953681
-394.29212,500,217.281497
-182.868915,500,220.176587
-207.384455,500,223.283199
-213.27882,500,226.823472
-201.699807,500,230.129779
-255.202769,500,233.142287
-332.682572,500,236.125464
-335.311803,500,239.117941
-252.08496,500,241.889817
-252.908478,500,244.660927
-247.635879,500,247.575708
-151.699368,500,250.649373
-283.830483,500,253.504186
-434.516632,500,256.606017
-181.936733,500,259.602604
-205.860191,500,262.426386
-287.919051,500,265.23181
-297.679044,500,268.390627
-209.57504,500,271.333666
-269.545405,500,273.926403
-267.650826,500,276.640065
-364.296638,500,279.025373
