#{"t_start": 1718889057.711208, "env_id": "None"}
r,l,t
426.292306,500,3.066434
428.927,500,6.663289
432.678953,500,9.583948
431.844474,500,12.488698
430.622519,500,15.542271
430.854349,500,18.025901
439.005887,500,20.538643
423.308154,500,23.757159
430.272313,500,26.460791
457.660412,500,29.323411
432.72558,500,32.130459
429.026174,500,34.924044
449.13142,500,37.488022
433.500212,500,40.241261
441.755734,500,43.08825
423.934426,500,45.685074
436.233295,500,48.210263
441.3388,500,50.935991
441.26315,500,53.921582
432.940586,500,56.781477
